crop,disease,pathogen_type,organic_remedy,chemical_active_ingredient,dosage_per_liter,spray_interval_days,pre_harvest_interval_days,safety_precautions
corn,healthy,None,Green manure cover cropping / mycorrhizal root inoculant,None (balanced nitrogen and potassium management),0,0,0,Regular field scouting during vegetative V6 to reproductive R1 silking stages.
grape,black rot,Fungal,Copper hydroxide 53.8% WG / Lime sulfur dormant spray,Mancozeb 75% WP or Myclobutanil 20% WP,2.5g/L (Mancozeb) or 0.5g/L (Myclobutanil),10-14,66,Remove mummified berries and infected canes during winter pruning. Observe strict pre-harvest intervals for wine grapes.
grape,esca (black measles),Fungal,Pruning wound sealants with Trichoderma atroviride / vine rejuvenation,Thiophanate-methyl paste (pruning wounds) or Fosetyl-Aluminium 80% WP,2.5g/L,21-28,28,Prune only in dry weather. Disinfect pruning shears between individual vines using 70% isopropyl alcohol.
grape,leaf blight (isariopsis leaf spot),Fungal,Bordeaux mixture 1% / Copper oxychloride 50% WP,Difenoconazole 25% EC or Mancozeb 75% WP,0.5ml/L (Difenoconazole) or 2.0g/L (Mancozeb),10-14,21,Ensure thorough coverage of under-leaf surfaces. Avoid excessive copper accumulation in vineyard soil.
grape,healthy,None,Canopy leaf thinning for sunlight exposure / balanced compost,None (balanced grapevine trellising and canopy airflow),0,0,0,Shoot thinning and leaf pulling in the fruiting zone to maximize airflow and minimize humidity.
orange,citrus greening (huanglongbing),Bacterial,Horticultural mineral oil 1% / Kaolin clay barrier / Tamarixia radiata parasitoids,Imidacloprid 17.8% SL or Thiamethoxam 25% WG (vector control) + Zn/Mn/Fe foliar nutrition,0.5ml/L (Imidacloprid) or 0.3g/L (Thiamethoxam),21-30,15,Eradicate symptomatic trees in non-endemic zones. Do not spray systemic neonicotinoids during bloom to protect bees.
peach,bacterial spot,Bacterial,Copper hydroxide 53.8% WG / Bacillus subtilis strain QST 713,Copper octanoate or Dodine 65% WP,1.5g/L,7-10,14,Use reduced copper rates post-shuck split to avoid fruit marking and phytotoxic leaf shot-holing.
peach,healthy,None,Dormant copper spray for peach leaf curl / superior horticultural oil,None (preventive orchard sanitation),0,0,0,Prune trees to an open-center vase system for maximum interior sunlight and rapid leaf drying.
bell pepper,bacterial spot,Bacterial,Copper hydroxide 53.8% WG + Bacillus amyloliquefaciens,Fixed Copper + Mancozeb 75% WP synergistic tank mix,2.0g/L Copper + 2.0g/L Mancozeb,7,7,Do not work in fields when foliage is wet. Disinfect field crates, tools, and greenhouse seedling trays.
bell pepper,healthy,None,Drip fertigation / silver reflective mulch against aphid/thrips vectors,None (balanced fertility and uniform soil moisture),0,0,0,Maintain consistent soil calcium and moisture to eliminate blossom end rot susceptibility.
potato,early blight,Fungal,Copper oxychloride 50% WP / Bacillus subtilis / Potassium phosphite,Azoxystrobin 23% SC or Chlorothalonil 75% WP,1.0ml/L (Azoxystrobin) or 2.0g/L (Chlorothalonil),7-10,7,Rotate FRAC group 11 (strobilurin) with FRAC group M5 (chlorothalonil) to prevent fungal resistance.
potato,late blight,Oomycete,Copper sulfate (Bordeaux mixture 1%) / Copper hydroxide / Trichoderma harzianum,Metalaxyl-M + Mancozeb (Ridomil Gold) or Mandipropamid 23.4% SC or Cymoxanil 60% WG,2.5g/L (Ridomil Gold) or 0.8ml/L (Mandipropamid),5-7,14,Immediate mandatory treatment upon regional blight forecasts. Destroy volunteer potatoes and cull piles completely.
potato,healthy,None,Certified disease-free seed tubers / bio-fertilizer inoculation,None (standard hilling and irrigation management),0,0,0,Proper hill formation to prevent tuber exposure to greening and down-washing blight zoospores.
raspberry,healthy,None,Trellising for cane aeration / organic straw mulch / drip lines,None (sanitation and removal of spent floricanes),0,0,0,Prune out and burn spent 2-year-old floricanes immediately following summer harvest.
soybean,healthy,None,Bradyrhizobium japonicum seed inoculant / crop rotation with corn,None (weed management and balanced potash fertility),0,0,0,Maintain clean field borders. Scout regularly for stink bugs, defoliators, and frogeye leaf spot.
squash,powdery mildew,Fungal,Potassium bicarbonate (3g/L) / Horticultural oil 1% / Sulfur 80% WDG / Milk dilution 10%,Myclobutanil 20% WP or Quinoxyfen 250 SC or Triflumizole 50% WP,0.5g/L (Myclobutanil) or 0.4ml/L (Quinoxyfen),7-10,1,Ensure thorough under-leaf coverage. Avoid sulfur applications when ambient temperature exceeds 32°C.
strawberry,leaf scorch,Fungal,Copper octanoate / Bacillus subtilis foliar spray / bio-fungicide,Captan 50% WP or Thiophanate-methyl 70% WP,2.0g/L,10-14,1,Avoid overhead sprinkler irrigation. Renovate and mow matted row strawberry beds after final spring harvest.
strawberry,healthy,None,Clean straw mulch / drip fertigation / predatory mite release,None (optimum crown depth planting and bed aeration),0,0,0,Plant crowns level with the soil line (never buried). Maintain good field drainage to prevent crown rot.
tomato,bacterial spot,Bacterial,Copper hydroxide 53.8% WG + Bacillus amyloliquefaciens strain D747,Copper hydroxide + Mancozeb 75% WP tank mix or Actigard (Acibenzolar-S-methyl),2.0g/L Copper + 2.0g/L Mancozeb,5-7,5,Never work in fields when tomato plants are wet. Sanitize tomato stakes, trellis wire, and pruners with 10% bleach.
tomato,early blight,Fungal,Copper octanoate / Potassium bicarbonate / Bacillus subtilis / Serenade ASO,Chlorothalonil 75% WP or Azoxystrobin 23% SC or Difenoconazole 25% EC,2.0g/L (Chlorothalonil) or 1.0ml/L (Azoxystrobin),7-10,7,Strip lower 12 inches of foliage to eliminate soil-splash contact. Rotate fungicide chemistries (FRAC M5 with FRAC 11/3).
tomato,late blight,Oomycete,Copper hydroxide (2.5g/L) / Bordeaux mixture 1% / Potassium phosphonate salts,Mandipropamid 23.4% SC (Revus) or Cyazofamid 34.5% SC (Ranman) or Cymoxanil 60% WG,0.8ml/L (Mandipropamid) or 0.3ml/L (Cyazofamid),5-7,1,Highly destructive pathogen. Rogue and bag infected plants immediately in plastic bags; never compost infected tomato tissue.
tomato,leaf mold,Fungal,Copper sulfate / Potassium bicarbonate / high-tunnel exhaust ventilation,Difenoconazole 25% EC or Chlorothalonil 75% WP,0.5ml/L (Difenoconazole) or 2.0g/L (Chlorothalonil),7-10,7,Maintain greenhouse and high tunnel relative humidity strictly below 85%. Increase plant spacing for airflow.
tomato,septoria leaf spot,Fungal,Copper hydroxide 53.8% WG / Cold-pressed Neem oil / Bio-fungicide foliar drench,Chlorothalonil 75% WP or Mancozeb 75% WP,2.0g/L,7-10,7,Apply heavy organic or plastic mulch to suppress spore splash from soil. Prune infected lower leaves promptly.
tomato,two-spotted spider mite,Pest / Arachnid,Insecticidal soap / Neem oil 0.5% / Predatory mites (Phytoseiulus persimilis),Abamectin 1.8% EC or Spiromesifen 22.9% SC or Bifenazate 43.2% SC,0.5ml/L (Abamectin) or 0.8ml/L (Spiromesifen),5-7,3,Target spray at underside of leaves where mite colonies feed. Rotate miticide modes of action to prevent resistance.
tomato,target spot,Fungal,Liquid copper fungicide / Bacillus amyloliquefaciens,Boscalid + Pyraclostrobin (Pristine WG) or Fluxapyroxad + Difenoconazole,1.0g/L,7-14,7,Maintain balanced potassium nutrition. Clear and bury all post-harvest crop residue immediately.
tomato,tomato yellow leaf curl virus,Viral,Yellow sticky card traps / Insecticidal soap / Silver reflective mulch / Encarsia formosa,Thiamethoxam 25% WG or Acetamiprid 20% SP or Spirotetramat 150 OD (vector control),0.3g/L (Thiamethoxam) or 0.4g/L (Acetamiprid),7-10,7,No chemical cure for viral infection. Rogue infected plants in sealed bags to trap vectoring whiteflies (Bemisia tabaci).
tomato,tomato mosaic virus,Viral,Disinfect tools in 20% non-fat dry milk solution or 10% trisodium phosphate (TSP),None (viral pathogen - no chemical viricide; strictly sanitation and genetic resistance),0,0,0,Prohibit tobacco use near greenhouses. Wash hands with soap and water before handling plants. Plant Tm-2^2 resistant varieties.
tomato,healthy,None,Aerated compost tea / mycorrhizal inoculant / organic straw mulch,None (balanced N-P-K 5-10-10, drip irrigation),0,0,0,Prune suckers and stake plants for maximum ventilation. Irrigate at base only; never wet foliar canopy.
